category	explanation	question	opt0	opt1	opt2	opt3	gold
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	artificial hairpiece to cover a bald spot	Pape'ete	potpie	toupee	petite	2
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	a marionette for example	appetite	toupee	tiptop	puppet	3
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	a calming drug like heroin or morphine	appetite	opiate	utopia	potpie	1
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	an amount that is produced as in a factory	toupee	petite	appetite	output	3
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	paradise a perfect place	appetite	utopia	petite	tiptop	1
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	tempest locale in a saying	Pape'ete	tiptop	toupee	teapot	3
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	excellent or very best	Pape'ete	appetite	tiptoe	tiptop	3
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	capital of Taiwan	output	Taipei	tiptop	appetite	1
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	capital of Tahiti	potato	Pape'ete	petite	opiate	1
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	sound of a beating heart hyphenated	output	appetite	pit-a-pat	putt-putt	2
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	what hunger increases	Taipei	opiate	appetite	pit-a-pat	2
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	another name for miniature golf	putt-putt	opiate	toupee	output	0
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	waterway connecting the Atlantic and the Pacific	parent company	paint can	patty cake	Panama Canal	3
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	a bent wire for holding office sheets together	Pablo Casals	Panama Canal	paper clip	paint can	2
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	what Comcast is to NBC Universal	patty cake	paper clip	party crasher	parent company	3
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	police officers’ vehicle	patrol car	Pablo Casals	panda cam	patty cake	0
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	renowned 20th Century cellist	Patsy Cline	Pablo Casals	party crasher	parent company	1
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	country singer whose hits include Crazy and I Fall to Pieces	Patsy Cline	Pablo Casals	patty cake	Panama Canal	0
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	container for a Benjamin Moore or Sherwin Williams product	Patsy Cline	paint can	patty cake	panda cam	1
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	device for remotely watching Chinese animals at a zoo	paper clip	panda cam	patrol car	Panama Canal	1
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	person who shows up at a social event without an invitation	paint can	parent company	paper clip	party crasher	3
I.E	"This week's puzzle is called """"SuperPACs."""" Every answer is a familiar two-word phrase or name in which the first word starts with PA- and the second word starts with C."	words repeated before baker’s man in a children’s rhyme	patrol car	panda cam	patty cake	parent company	2
SOUND	"Every answer is the name of a world capital. You'll be given clues to its phonetic parts, and you name the capital. For example, given the clues """"person from Bangkok"""" and """"salary,"""" the answer would be Taipei (""""Thai"""" plus """"pay"""")."	 Actress Taylor, informally; covering for a hot dog	Moscow	Lisbon	Bucharest	New Delhi	1
SOUND	"Every answer is the name of a world capital. You'll be given clues to its phonetic parts, and you name the capital. For example, given the clues """"person from Bangkok"""" and """"salary,"""" the answer would be Taipei (""""Thai"""" plus """"pay"""")."	A Muslim's place of worship; a cry of surprise 	Moscow	New Delhi	Lisbon	Bucharest	0
SOUND	"Every answer is the name of a world capital. You'll be given clues to its phonetic parts, and you name the capital. For example, given the clues """"person from Bangkok"""" and """"salary,"""" the answer would be Taipei (""""Thai"""" plus """"pay"""")."	Wildebeest; sandwich shop	Helsinki	Bucharest	Dubai	New Delhi	3
SOUND	"Every answer is the name of a world capital. You'll be given clues to its phonetic parts, and you name the capital. For example, given the clues """"person from Bangkok"""" and """"salary,"""" the answer would be Taipei (""""Thai"""" plus """"pay"""")."	Chesapeake, for example; road or highway	Beiruit	Helsinki	Lisbon	Moscow	0
SOUND	"Every answer is the name of a world capital. You'll be given clues to its phonetic parts, and you name the capital. For example, given the clues """"person from Bangkok"""" and """"salary,"""" the answer would be Taipei (""""Thai"""" plus """"pay"""")."	 expected, as payment; a tournament position in which one advances without playing	Moscow	Bucharest	Dubai	Beiruit	2
SOUND	"Every answer is the name of a world capital. You'll be given clues to its phonetic parts, and you name the capital. For example, given the clues """"person from Bangkok"""" and """"salary,"""" the answer would be Taipei (""""Thai"""" plus """"pay"""")."	A sound of disapproval, as in a stadium; a snarling dog; to seize, as control	Bucharest	New Delhi	Helsinki	Dubai	0
SOUND	"Every answer is the name of a world capital. You'll be given clues to its phonetic parts, and you name the capital. For example, given the clues """"person from Bangkok"""" and """"salary,"""" the answer would be Taipei (""""Thai"""" plus """"pay"""")."	Opposite of heaven, to croon; a lock opener	Moscow	Bucharest	Helsinki	Dubai	2
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	dare, peruse	read	flow	tore	keep	0
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	tame, coiled	coat	ring	tore	docile	3
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	peek, retain	keep	docile	tore	lather	0
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	clam, serene	read	coat	calm	listen	2
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	taco, jacket	coat	flow	keep	laid	0
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	suds, halter	coat	laid	lather	calm	2
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	grin, circle	flow	laid	ring	read	2
ANAGRAM; S.O	Given a four-letter word and a six-letter word, rearrange the letters of one of them to get a synonym of the other.	rote, ripped	listen	docile	laid	tore	3
